
Wed Sep 14 11:15:48 MSK 2022 Created child node at 1. NOTES
Wed Sep 14 11:17:51 MSK 2022 Created child node at 1. NOTES
Wed Sep 14 11:17:57 MSK 2022 Created child node at 1. THE VERY ROOT NODE
Wed Sep 14 11:22:44 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:30:05 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:30:05 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:30:05 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:30:05 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:30:05 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:30:05 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:30:05 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:30:10 MSK 2022 Created child node at 1. NOTES
Wed Sep 14 11:30:10 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:30:10 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:30:10 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:30:10 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:30:10 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:30:10 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:30:10 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:30:10 MSK 2022 From DB: note12. new empty note, child of 1
Wed Sep 14 11:30:15 MSK 2022 Created child node at 1. NOTES
Wed Sep 14 11:30:15 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:30:15 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:30:15 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:30:15 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:30:15 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:30:15 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:30:15 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:30:15 MSK 2022 From DB: note12. new empty note, child of 1
Wed Sep 14 11:30:15 MSK 2022 From DB: note13. new empty note, child of 1
Wed Sep 14 11:30:59 MSK 2022 Node To remember saved.
Wed Sep 14 11:30:59 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:30:59 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:30:59 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:30:59 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:30:59 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:30:59 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:30:59 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:30:59 MSK 2022 From DB: note12. new empty note, child of 1
Wed Sep 14 11:30:59 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 11:31:12 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:31:12 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:31:12 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:31:12 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:31:12 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:31:12 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:31:12 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:31:12 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 11:37:51 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:37:51 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:37:51 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:37:51 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:37:51 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:37:51 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:37:51 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:37:51 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 11:47:33 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:47:33 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:47:33 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:47:33 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:47:33 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:47:33 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:47:33 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:47:33 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 11:47:37 MSK 2022 Created child node at 9. new empty note
Wed Sep 14 11:47:37 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:47:37 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:47:37 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:47:37 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:47:37 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:47:37 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:47:37 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:47:37 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 11:47:37 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 12:29:51 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 12:29:51 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 12:29:51 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 12:29:51 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 12:29:51 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 12:29:51 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 12:29:51 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 12:29:51 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 12:29:51 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 13:36:40 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 13:36:40 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 13:36:40 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 13:36:40 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 13:36:40 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 13:36:40 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 13:36:40 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 13:36:40 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 13:36:40 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 13:58:39 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 13:58:39 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 13:58:39 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 13:58:39 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 13:58:39 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 13:58:39 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 13:58:39 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 13:58:39 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 13:58:39 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 13:59:20 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 13:59:20 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 13:59:20 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 13:59:20 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 13:59:20 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 13:59:20 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 13:59:20 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 13:59:20 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 13:59:20 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 14:05:01 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 14:05:01 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 14:05:01 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 14:05:01 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 14:05:01 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 14:05:01 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 14:05:01 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 14:05:01 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 14:05:01 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 14:05:18 MSK 2022 Node new empty note saved.
Wed Sep 14 14:05:18 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 14:05:18 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 14:05:18 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 14:05:18 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 14:05:18 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 14:05:18 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 14:05:18 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 14:05:18 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 14:05:18 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 14:07:37 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 14:07:37 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 14:07:37 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 14:07:37 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 14:07:37 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 14:07:37 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 14:07:37 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 14:07:37 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 14:07:37 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 20:40:41 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 20:40:41 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 20:40:41 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 20:40:41 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 20:40:41 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 20:40:41 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 20:40:41 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 20:40:41 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 20:40:41 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 20:40:49 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 20:40:49 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 20:40:49 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 20:40:49 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 20:40:49 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 20:40:49 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 20:40:49 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 20:40:49 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 20:40:52 MSK 2022 Created child node at 9. new empty note
Wed Sep 14 20:40:52 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 20:40:52 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 20:40:52 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 20:40:52 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 20:40:52 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 20:40:52 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 20:40:52 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 20:40:52 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 20:40:52 MSK 2022 From DB: note15. new empty note, child of 9
Wed Sep 14 20:43:24 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 20:43:24 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 20:43:24 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 20:43:24 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 20:43:24 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 20:43:24 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 20:43:24 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 20:43:24 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 20:43:24 MSK 2022 From DB: note15. new empty note, child of 9
Wed Sep 14 20:43:32 MSK 2022 Node new empty note saved.
Wed Sep 14 20:43:32 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 20:43:32 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 20:43:32 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 20:43:32 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 20:43:32 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 20:43:32 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 20:43:32 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 20:43:32 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 20:43:32 MSK 2022 From DB: note15. new empty note, child of 9
Wed Sep 14 20:44:39 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 20:44:39 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 20:44:39 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 20:44:39 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 20:44:39 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 20:44:39 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 20:44:39 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 20:44:39 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 20:44:39 MSK 2022 From DB: note15. new empty note, child of 9
Wed Sep 14 20:45:42 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 20:45:42 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 20:45:42 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 20:45:42 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 20:45:42 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 20:45:42 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 20:45:42 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 20:45:42 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 20:45:42 MSK 2022 From DB: note15. new empty note, child of 9
Wed Sep 14 20:45:53 MSK 2022 Node To remember saved.
Wed Sep 14 20:45:53 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 20:45:53 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 20:45:53 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 20:45:53 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 20:45:53 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 20:45:53 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 20:45:53 MSK 2022 From DB: note13. To remember, child of 1
Wed Sep 14 20:45:53 MSK 2022 From DB: note14. new empty note, child of 9
Wed Sep 14 20:45:53 MSK 2022 From DB: note15. new empty note, child of 9
